Latitude,Longitude,Address,Description
40.764224,-73.977279,100 W 57th St,"100 W 57th St<BR>Racks: 1 large, small"
40.761044,-73.984301,1619 Broadway,1619 Broadway<BR>Racks: 1 small
40.789876,-73.975277,2407 Broadway,2407 Broadway<BR>Racks: 1 small
40.793496,-73.972617,2522 Broadway,2522 Broadway<BR>Racks: 1 large
40.779329,-73.983311,253 W 72nd St,253 W 72nd St<BR>Racks: 1 small
40.795647,-73.971067,2589 Broadway,2589 Broadway<BR>Racks: 1 large
40.798619,-73.96891,2681 Broadway,2681 Broadway<BR>Racks: 1 small
40.801479,-73.967854,2760 Broadway,2760 Broadway<BR>Racks: 1 small
40.770571,-73.987516,4 Amsterdam Ave,"4 Amsterdam Ave<BR>Racks: 1 large, 2 small"
40.788758,-73.970503,609 Columbus Ave,"609 Columbus Ave<BR>Racks: 1 large, 1 small"
40.80184,-73.9647,976 Amsterdam Ave,976 Amsterdam Ave<BR>Racks: 1 small
40.73568,-73.988713,109 East 16th St,109 East 16th St<BR>Racks: 5 small
40.736301,-73.994342,12 West 14th St,12 West 14th St<BR>Racks: 3 small
40.691506,-73.986297,151 Lawrence St,151 Lawrence St<BR>Racks: 1 small
40.805363,-73.935722,165 East 127th St,165 East 127th St<BR>Racks: 2 small
40.784656,-73.979359,2240 Broadway,2240 Broadway<BR>Racks: 1 small
40.762717,-73.975442,23 West 56th St,23 West 56th St<BR>Racks: 1 small
40.705155,-74.015585,2 Washington Street,"2 Washington Street<BR>Racks: 1 large, 2 small"
40.683749,-73.982816,275 Bergen St,275 Bergen St<BR>Racks: 2 small
40.57353,-73.987448,3050 West 21st St,3050 West 21st St<BR>Racks: 3 small
40.749575,-73.995355,400 8th Ave,400 8th Ave<BR>Racks: 1 small
40.67588,-73.871091,404 Pine St,"404 Pine St<BR>Racks: 1 large, 1 small"
40.870391,-73.914561,4055 10th Ave,4055 10th Ave<BR>Racks: 2 small
40.690757,-73.956635,500 DeKalb Ave,500 DeKalb Ave<BR>Racks: 3 small
40.819342,-73.953213,530 West 135th St,530 West 135th St<BR>Racks: 2 small
40.635991,-74.022969,6734 4th ave,6734 4th ave<BR>Racks: 2 small
40.685546,-73.97855,98 Flatbush Ave,98 Flatbush Ave<BR>Racks: 3 small
40.764215,-73.915661,3811 30th Ave,3811 30th Ave<BR>Racks: 1 small
40.765298,-73.982051,1745 Broadway,1745 Broadway<BR>Racks: 1 small
40.727834,-73.998499,130 Bleeker St,130 Bleeker St<BR>Racks: 1 small
40.71927,-73.998957,211 Centre St,211 Centre St<BR>Racks: 1 small
40.731118,-73.982713,230 1st Ave,230 1st Ave<BR>Racks: 1 small
40.755802,-73.988482,230 West 41st St,"230 West 41st St<BR>Racks: 1 large, small"
40.737931,-73.988016,239 Park Avenue South,239 Park Avenue South<BR>Racks: 1 small
40.721322,-73.981767,248 East 2nd St,248 East 2nd St<BR>Racks: 1 small
40.757309,-73.987901,250 West 43rd St,250 West 43rd St<BR>Racks: 1 small
40.762477,-73.984586,251 W 51St,251 W 51St<BR>Racks: 1 small
40.728442,-73.983627,259 East 10th St,259 East 10th St<BR>Racks: 1 small
40.751691,-73.992262,261 West 34th St,261 West 34th St<BR>Racks: 1 small
40.734758,-73.99278,27 E 13th St,"27 E 13th St<BR>Racks: 1 large, small"
40.723615,-73.992785,273 Bowery,273 Bowery<BR>Racks: 1 small
40.731786,-74.003309,281 Bleecker St,281 Bleecker St<BR>Racks: 1 small
40.724806,-73.993293,292 Elizabeth St,292 Elizabeth St<BR>Racks: 1 small
40.721349,-73.979852,298 East 3rd St,298 East 3rd St<BR>Racks: 1 small
40.781518,-73.948578,302 East 92nd St,"302 East 92nd St<BR>Racks: 1 large, small"
40.780002,-73.984965,310 West 72nd St,310 West 72nd St<BR>Racks: 1 small
40.725296,-73.979821,311 East 8th St,"311 East 8th St<BR>Racks: 1 large, small"
40.755638,-73.991882,315 W 39th St,315 W 39th St<BR>Racks: 1 small
40.730941,-74.004799,32 Morton St,32 Morton St<BR>Racks: 1 small
40.73066,-73.985041,331 East 12th Street,331 East 12th Street<BR>Racks: 1 small
40.780294,-73.949521,301 East 90th St,301 East 90th St<BR>Racks: 1 small
40.727015,-73.9876,335 East 6th Street,335 East 6th Street<BR>Racks: 1 small
40.734303,-73.991737,48 East 13th Street,48 East 13th Street<BR>Racks: 1 small
40.741884,-73.990394,16 W 23rd St,16 W 23rd St<BR>Racks: 1 small
40.819572,-73.959196,2328 12th Avenue,2328 12th Avenue<BR>Racks: 1 small
40.730345,-73.989962,115 East 9th Street,115 East 9th Street<BR>Racks: 1 small
40.778846,-73.980054,167 West 73rd Street,167 West 73rd Street<BR>Racks: 1 small
40.715666,-73.990098,51 Hester St,51 Hester St<BR>Racks: 1 small
40.714214,-73.988471,192 E. Broadway,192 E. Broadway<BR>Racks: 1 small
40.717175,-73.988904,64 Essex St,64 Essex St<BR>Racks: 1 small
40.714216,-73.98824,197 E. Broadway,197 E. Broadway<BR>Racks: 1 small
40.746328,-73.991183,113 W 28th St,113 W 28th St<BR>Racks: 1 small
40.704651,-74.011549,67 Broad St,67 Broad St<BR>Racks: 1 small
40.751858,-74.002429,528 West 29th St,528 West 29th St<BR>Racks: 1 small
40.752237,-73.991489,247 W 35th St,247 W 35th St<BR>Racks: 1 small
40.746083,-73.996351,261 W 25th st,261 W 25th st<BR>Racks: 1 small
40.746155,-73.996564,270 W 25th St,270 W 25th St<BR>Racks: 1 small
40.746256,-73.996806,282 W 25th St,282 W 25th St<BR>Racks: 1 small
40.748164,-73.992695,350 7th Ave,350 7th Ave<BR>Racks: 1 small
40.753719,-73.997076,419 W 34th St,419 W 34th St<BR>Racks: 1 small
40.751569,-73.970393,304 E 45th St,304 E 45th St<BR>Racks: 1 small
40.730345,-73.989962,115 East 9th Street,115 East 9th Street<BR>Racks: 1 small
40.730345,-73.989962,115 East 9th Street,115 East 9th Street<BR>Racks: 1 small
40.730345,-73.989962,115 East 9th Street,115 East 9th Street<BR>Racks: 1 small
40.715745,-74.00821,100 Reade St,100 Reade St<BR>Racks: 1 small
40.735209,-74.005636,101 Perry St,101 Perry St<BR>Racks: 1 small
40.735151,-74.005896,108 Perry St,108 Perry St<BR>Racks: 1 small
40.750032,-73.984333,11 West 36th St,11 West 36th St<BR>Racks: 1 large
40.76297,-73.959541,1187 1st Ave,1187 1st Ave<BR>Racks: 1 small
40.762927,-73.962663,1191 2nd Ave,1191 2nd Ave<BR>Racks: 1 small
40.744276,-73.982522,110 E 30th St,110 E 30th St<BR>Racks: 1 small
40.727721,-73.988317,111 Second Ave,111 Second Ave<BR>Racks: 1 small
40.732549,-73.990088,114 4th Ave,114 4th Ave<BR>Racks: 1 large
40.742555,-73.982534,118 Lexington Ave,118 Lexington Ave<BR>Racks: 1 small
40.70447,-74.00629,120 Wall Street,120 Wall Street<BR>Racks: 1 small
40.724174,-73.986514,121 East 3rd St,121 East 3rd St<BR>Racks: 3 large
40.724596,-73.978472,124 Ave C,124 Ave C<BR>Racks: 1 small
40.727834,-73.998499,130 Bleeker St,130 Bleeker St<BR>Racks: 1 small
40.741312,-73.983104,137 East 26th St,137 East 26th St<BR>Racks: 1 small
40.737907,-73.998163,144 West 14th St,144 West 14th St<BR>Racks: 1 large
40.737026,-74.002371,16 Bank St,16 Bank St<BR>Racks: 1 small
40.737122,-73.99218,16 East 16th Street,16 East 16th Street<BR>Racks: 1 small
40.741884,-73.990394,16 West 23rd St,16 West 23rd St<BR>Racks: 1 small
40.748655,-73.988097,1270 Broadway,"1270 Broadway<BR>Racks: 1 large, small"
40.739643,-73.985039,131 E 23rd St,131 E 23rd St<BR>Racks: 1 small
40.765971,-73.954377,1326 York Ave,1326 York Ave<BR>Racks: 1 small
40.73937,-73.997525,160 West 16th St,160 West 16th St<BR>Racks: 1 large
40.784634,-73.975781,165 West 82nd Street,165 West 82nd Street<BR>Racks: 1 small
40.726204,-73.977299,171 Ave C,171 Ave C<BR>Racks: 1 large
40.764626,-73.982246,1728 Broadway,1728 Broadway<BR>Racks: 1 small
40.72323,-73.984267,173 East 3rd St,173 East 3rd St<BR>Racks: 1 large
40.730528,-73.986257,176 2nd Avenue,176 2nd Avenue<BR>Racks: 1 small
40.717939,-74.007305,177 West Broadway,177 West Broadway<BR>Racks: 1 small
40.736065,-73.991098,19 Union Square West,19 Union Square West<BR>Racks: 1 small
40.737247,-73.987035,112 E. 19th Street,112 E. 19th Street<BR>Racks: 1 small
40.745557,-73.977747,208 East 34th St,208 East 34th St<BR>Racks: 1 small
40.738575,-73.982517,219 E 23rd St,219 E 23rd St<BR>Racks: 1 small
40.770703,-73.953871,1470 1st Ave,1470 1st Ave<BR>Racks: 1 small
40.756424,-73.979985,22 West 46th Street,22 West 46th Street<BR>Racks: 1 small
40.756424,-73.979985,22 West 46th Street,22 West 46th Street<BR>Racks: 1 large
40.784656,-73.979359,2240 Broadway,2240 Broadway<BR>Racks: 1 small
40.762717,-73.975442,23 West 56th St,23 West 56th St<BR>Racks: 1 small
40.731118,-73.982713,230 1st Ave,230 1st Ave<BR>Racks: 1 small
40.755802,-73.988482,230 West 41st St,230 West 41st St<BR>Racks: 1 large
40.737931,-73.988016,239 Park Avenue South,239 Park Avenue South<BR>Racks: 1 small
40.721322,-73.981767,248 East 2nd St,248 East 2nd St<BR>Racks: 1 small
40.757309,-73.987901,250 West 43rd St,250 West 43rd St<BR>Racks: 1 small
40.762477,-73.984586,251 W 51St,251 W 51St<BR>Racks: 1 small
40.728442,-73.983627,259 East 10th St,259 East 10th St<BR>Racks: 1 small
40.751691,-73.992262,261 West 34th St,261 West 34th St<BR>Racks: 1 small
40.734758,-73.99278,27 E 13th St,27 E 13th St<BR>Racks: 1 large
40.723615,-73.992785,273 Bowery,273 Bowery<BR>Racks: 1 small
40.731786,-74.003309,281 Bleecker St,281 Bleecker St<BR>Racks: 1 small
40.771558,-73.9503,1498 York Ave,1498 York Ave<BR>Racks: 2 small
40.773594,-73.954855,1524 2nd Ave,1524 2nd Ave<BR>Racks: 2 small
